"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 08 14:15:44 UTC 2026","Thu Jan 08 14:15:44 UTC 2026","142","Surefire suite","Surefire test","tests.LifecycleTest","tests.LifecycleTest","updateUserTest","Actualizar usuario existente (PUT)",""
"passed","Thu Jan 08 14:15:44 UTC 2026","Thu Jan 08 14:15:44 UTC 2026","71","Surefire suite","Surefire test","tests.LifecycleTest","tests.LifecycleTest","deleteUserTest","Borrar usuario (DELETE)",""
"passed","Thu Jan 08 14:15:43 UTC 2026","Thu Jan 08 14:15:43 UTC 2026","51","Surefire suite","Surefire test","tests.UsersTest","tests.UsersTest","userNotFoundTest","Usuario no encontrado (404)",""
"passed","Thu Jan 08 14:15:41 UTC 2026","Thu Jan 08 14:15:43 UTC 2026","1975","Surefire suite","Surefire test","tests.UsersTest","tests.UsersTest","getAllUsersTest","Obtener lista de usuarios (GET)","Verifica que el endpoint devuelva código 200 y la lista de usuarios tenga 10 elementos."
"passed","Thu Jan 08 14:15:43 UTC 2026","Thu Jan 08 14:15:44 UTC 2026","517","Surefire suite","Surefire test","tests.CreateUserTest","tests.CreateUserTest","createNewUserTest","Crear un nuevo usuario","Envía un objeto Java serializado como JSON y valida la respuesta 201 Created."
"passed","Thu Jan 08 14:15:44 UTC 2026","Thu Jan 08 14:15:44 UTC 2026","107","Surefire suite","Surefire test","tests.PostsTest","tests.PostsTest","getPostsByUserIdTest","Filtrar posts por User ID","Obtiene los posts del usuario 1 y valida que TODOS pertenezcan a ese ID."
"passed","Thu Jan 08 14:15:43 UTC 2026","Thu Jan 08 14:15:43 UTC 2026","97","Surefire suite","Surefire test","tests.UsersTest","tests.UsersTest","getSingleUserTest","Obtener usuario único (GET)",""
